Xaux_1,Xaux_2,Xaux_3,Xaux_4,Xaux_5,Xaux_6,Xaux_7,Xaux_8,Xaux_9,Var2
0.049039,0.25287,-0.55468,0.018937,0.16998,0.17902,-0.45371,0.043469,0.017083,d
0.42462,0.669,-0.67258,0.063457,0.25664,0.543,-0.44724,0.089108,0.24746,b
0.030723,0.20596,-0.5622,0.0044741,0.078166,0.1289,-0.51661,0.01593,0.0076217,c
0.1368,0.39076,-0.4575,0.039094,0.3749,0.30223,-0.35872,0.12802,0.069522,d
0.23859,0.50984,-0.73128,0.10171,0.31555,0.42519,-0.45108,0.13822,0.13133,b
0.38766,0.57552,-0.62102,0.060539,0.25857,0.63111,-0.43222,0.081647,0.29851,d
0.026248,0.1729,-0.62075,0.0065768,0.061917,0.11881,-0.56617,0.012135,0.01306,c
0.042039,0.21066,-0.62483,0.015777,0.11242,0.16741,-0.48379,0.025132,0.023872,d
0.088178,0.30576,-0.59012,0.034338,0.22877,0.24887,-0.426,0.064467,0.051158,d
0.50482,0.73943,-0.55016,0.16664,0.51281,0.53151,-0.32464,0.26266,0.27296,b
0.11649,0.37931,-0.35929,0.19681,0.80162,0.2386,-0.25467,0.47792,0.04543,d
0.15965,0.48176,-0.69132,0.11368,0.23991,0.24482,-0.52171,0.13774,0.040673,b
0.046017,0.24623,-0.55392,0.017582,0.16086,0.15382,-0.5014,0.042861,0.014295,d
0.020891,0.16116,-0.6539,0.0038722,0.037856,0.11726,-0.62707,0.0067064,0.0079522,c
0.064257,0.29212,-0.56471,0.068943,0.27313,0.18455,-0.38453,0.086237,0.024401,d
0.11528,0.32395,-0.5981,0.088486,0.29514,0.28245,-0.42102,0.10725,0.082273,d
0.089574,0.35768,-0.52413,0.039577,0.26227,0.23594,-0.41701,0.079152,0.038009,d
0.049183,0.20367,-0.61097,0.0019554,0.065221,0.17977,-0.57863,0.013922,0.038492,c
0.066987,0.25439,-0.57406,0.012999,0.088245,0.25146,-0.52945,0.019237,0.044234,d
0.093985,0.33325,-0.52844,0.048603,0.28813,0.24737,-0.39949,0.0916,0.044402,d
0.30535,0.62491,-0.64947,0.094214,0.32263,0.40832,-0.41989,0.12156,0.10812,b
0.058828,0.25626,-0.60459,0.023161,0.13757,0.20218,-0.50207,0.033654,0.031424,d
0.15245,0.43622,-0.70819,0.044791,0.22105,0.31346,-0.46587,0.075998,0.059419,b
0.078727,0.314,-0.76433,0.010548,0.080018,0.22986,-0.57026,0.018896,0.029564,b
0.17977,0.35155,-0.67487,0.024013,0.14682,0.43399,-0.47935,0.038912,0.16953,b
0.0054958,0.082742,-0.65288,0.0049902,0.045525,0.052315,-0.60029,0.0086322,0.0021062,d
0.22986,0.48099,-0.59453,0.038262,0.23064,0.42255,-0.4557,0.068552,0.14777,d
0.19078,0.46842,-0.48456,0.059178,0.27398,0.356,-0.42705,0.088937,0.095488,d
0.049399,0.18875,-0.7911,0.017346,0.091116,0.18611,-0.66773,0.027952,0.044554,b
0.025094,0.18008,-0.60682,0.0051712,0.06051,0.11679,-0.54761,0.011596,0.0084515,d
